Estado,RegDst,Jump,Branch,MemRead,MemToRg,ALUOp,MemWr,ALUSrc,RegWrite
Correcto
Correcto
Error,1,0,-,-,-,10,-,0,-
Error,0,-,0,-,-,00,-,1,-
Error,X,-,1,-,X,-,-,0,0
Error,X,1,0,-,X,10,-,-,-
Error,1,0,-,-,-,10,-,0,-
Error,0,-,0,-,-,00,-,1,-
Error,X,-,1,-,X,-,-,0,0
Error,X,1,0,-,X,10,-,-,-
Error,1,0,-,-,-,10,-,0,-
Error,0,-,0,-,-,00,-,1,-
Error,X,-,1,-,X,-,-,0,0
Error,X,1,0,-,X,10,-,-,-
Error,1,0,-,-,-,10,-,0,-
Error,0,-,0,-,-,00,-,1,-
Error,X,-,1,-,X,-,-,0,0
Error,X,1,0,-,X,10,-,-,-
Error,1,0,-,-,-,10,-,0,-
Error,0,-,0,-,-,00,-,1,-
Error,X,-,1,-,X,-,-,0,0
